Muestra	Ranking	Gene	Locus_Tag	Cobertura
HC02IgGneg_S3	11	rpsB	lmo1658	0.062918
HC02IgGneg_S3	12	groEL	lmo2068	0.061501
HC02IgGneg_S3	13	pgk	lmo2458	0.060606
HC02IgGneg_S3	14	pflB	lmo1406	0.053836
HC02IgGneg_S3	15	tsf	lmo1657	0.047619
HC02IgGneg_S3	16	rplK	lmo0248	0.033097
HC02IgGneg_S3	17	rpoC	lmo0259	0.023592
HC02IgGneg_S3	18	lmo1978	lmo1978	0.021724
HC02IgGneg_S3	19	lmo1106	lmo1106	0.013480
HC02IgGneg_S3	20	carB	lmo1835	0.013396
HC02IgGpos_S4	1	tuf	lmo2653	28.650633
HC02IgGpos_S4	2	rplB	lmo2629	15.979543
HC02IgGpos_S4	3	rpmJ	lmo2609	14.747747
HC02IgGpos_S4	4	rpsS	lmo2628	9.960145
HC02IgGpos_S4	5	rpsB	lmo1658	8.348059
HC02IgGpos_S4	6	rpsJ	lmo2633	7.630719
HC02IgGpos_S4	7	atpA	lmo2531	4.394180
HC02IgGpos_S4	8	rpmA	lmo1540	3.916667
HC02IgGpos_S4	9	lmo2511	lmo2511	3.700535
HC02IgGpos_S4	10	lmo1391	lmo1391	2.821730
HC02IgGpos_S4	11	fus	lmo2654	2.770264
HC02IgGpos_S4	12	pgk	lmo2458	2.583333
HC02IgGpos_S4	13	lmo1097a	lmo1097a	2.505050
HC02IgGpos_S4	14	tsf	lmo1657	2.428571
HC02IgGpos_S4	15	rplA	lmo0249	2.267831
HC02IgGpos_S4	16	rpsH	lmo2618	2.212121
HC02IgGpos_S4	17	pdhA	lmo1052	2.036837
HC02IgGpos_S4	18	pflB	lmo1406	1.562135
HC02IgGpos_S4	19	dnaK	lmo1473	1.506253
HC02IgGpos_S4	20	rplK	lmo0248	1.399527
HC03IgGneg_S5	1	tuf	lmo2653	0.749367
HC03IgGneg_S5	2	rpmJ	lmo2609	0.666667
HC03IgGneg_S5	3	rpsM	lmo2608	0.314050
HC03IgGneg_S5	4	lmo1159	lmo1159	0.219780
HC03IgGneg_S5	5	rpsS	lmo2628	0.181159
HC03IgGneg_S5	6	lmo1391	lmo1391	0.139240
HC03IgGneg_S5	7	rpoB	lmo0258	0.064752
HC03IgGneg_S5	8	tsf	lmo1657	0.047619
HC03IgGneg_S5	9	fus	lmo2654	0.045563
HC03IgGneg_S5	10	uvrA	lmo2488	0.044630
HC03IgGneg_S5	11	lmo1081	lmo1081	0.040509
HC03IgGneg_S5	12	lmo0860	lmo0860	0.029680
HC03IgGneg_S5	13	leuS	lmo1660	0.029058
HC03IgGneg_S5	14	ffh	lmo1801	0.019259
HC03IgGneg_S5	15	ileS	lmo2019	0.011582
HC03IgGpos_S6	1	rpmJ	lmo2609	5.810811
HC03IgGpos_S6	2	tuf	lmo2653	3.668354
HC03IgGpos_S6	3	rpsS	lmo2628	2.278986
HC03IgGpos_S6	4	rplB	lmo2629	1.598075
HC03IgGpos_S6	5	rplA	lmo0249	1.298399
HC03IgGpos_S6	6	rpsB	lmo1658	1.191432
HC03IgGpos_S6	7	rpmA	lmo1540	0.843750
HC03IgGpos_S6	8	atpA	lmo2531	0.641534
HC03IgGpos_S6	9	lmo1097a	lmo1097a	0.525253
HC03IgGpos_S6	10	lmo2511	lmo2511	0.427808
HC03IgGpos_S6	11	rpsM	lmo2608	0.415978
HC03IgGpos_S6	12	rpsJ	lmo2633	0.415033
HC03IgGpos_S6	13	dnaK	lmo1473	0.357803
HC03IgGpos_S6	14	rpsH	lmo2618	0.325758
HC03IgGpos_S6	15	pgk	lmo2458	0.272727
HC03IgGpos_S6	16	lmo1978	lmo1978	0.268839
HC03IgGpos_S6	17	tsf	lmo1657	0.234694
HC03IgGpos_S6	18	pdhA	lmo1052	0.222821
HC03IgGpos_S6	19	fus	lmo2654	0.200480
HC03IgGpos_S6	20	rplL	lmo0251	0.188889
HC04IgGneg_S7	1	rpmJ	lmo2609	1.837838
HC04IgGneg_S7	2	tuf	lmo2653	1.122363
HC04IgGneg_S7	3	rpsS	lmo2628	0.724638
HC04IgGneg_S7	4	rpmA	lmo1540	0.343750
HC04IgGneg_S7	5	rplB	lmo2629	0.332130
HC04IgGneg_S7	6	lmo1391	lmo1391	0.277426
HC04IgGneg_S7	7	lmo0733	lmo0733	0.248521
HC04IgGneg_S7	8	rplA	lmo0249	0.240175
HC04IgGneg_S7	9	rplK	lmo0248	0.236407
HC04IgGneg_S7	10	lmo2511	lmo2511	0.206774
HC04IgGneg_S7	11	lmo2703	lmo2703	0.120635
HC04IgGneg_S7	12	fus	lmo2654	0.104077
HC04IgGneg_S7	13	rpsM	lmo2608	0.082645
HC04IgGneg_S7	14	atpD	lmo2529	0.078929
HC04IgGneg_S7	15	pgk	lmo2458	0.060606
HC04IgGneg_S7	16	rpsB	lmo1658	0.058902
HC04IgGneg_S7	17	rpoB	lmo0258	0.048705
HC04IgGneg_S7	18	lmo1853	lmo1853	0.045228
HC04IgGneg_S7	19	atpA	lmo2531	0.042328
HC04IgGneg_S7	20	groEL	lmo2068	0.041205
HC04IgGpos_S8	1	tuf	lmo2653	31.997469
HC04IgGpos_S8	2	rpmJ	lmo2609	29.036036
HC04IgGpos_S8	3	rplB	lmo2629	21.315283
HC04IgGpos_S8	4	rpsS	lmo2628	12.286232
HC04IgGpos_S8	5	rpsB	lmo1658	9.274431
HC04IgGpos_S8	6	rpmA	lmo1540	6.954861
HC04IgGpos_S8	7	rpsJ	lmo2633	6.428104
HC04IgGpos_S8	8	lmo2511	lmo2511	5.682709
HC04IgGpos_S8	9	atpA	lmo2531	5.656746
HC04IgGpos_S8	10	lmo1097a	lmo1097a	4.297980
HC04IgGpos_S8	11	rplA	lmo0249	4.193595
HC04IgGpos_S8	12	fus	lmo2654	4.087770
HC04IgGpos_S8	13	tsf	lmo1657	3.781179
HC04IgGpos_S8	14	dnaK	lmo1473	2.800979
HC04IgGpos_S8	15	lmo2703	lmo2703	2.657143
HC04IgGpos_S8	16	rplK	lmo0248	2.638298
HC04IgGpos_S8	17	rpsH	lmo2618	2.434343
HC04IgGpos_S8	18	pdhA	lmo1052	2.373765
HC04IgGpos_S8	19	pflB	lmo1406	2.195603
HC04IgGpos_S8	20	pgk	lmo2458	2.152357
HC05IgGneg_S9	1	tuf	lmo2653	1.714768
HC05IgGneg_S9	2	rplB	lmo2629	1.392299
HC05IgGneg_S9	3	rpmJ	lmo2609	0.666667
HC05IgGneg_S9	4	rpmA	lmo1540	0.552083
HC05IgGneg_S9	5	rpsB	lmo1658	0.522088
HC05IgGneg_S9	6	rpsS	lmo2628	0.503623
HC05IgGneg_S9	7	lmo1391	lmo1391	0.385021
HC05IgGneg_S9	8	lmo2511	lmo2511	0.345811
HC05IgGneg_S9	9	atpD	lmo2529	0.300916
HC05IgGneg_S9	10	gap	lmo2459	0.252976
HC05IgGneg_S9	11	dnaK	lmo1473	0.231648
HC05IgGneg_S9	12	lmo1097a	lmo1097a	0.227273
HC05IgGneg_S9	13	atpA	lmo2531	0.196429
HC05IgGneg_S9	14	tsf	lmo1657	0.179138
HC05IgGneg_S9	15	fus	lmo2654	0.173621
HC05IgGneg_S9	16	pflB	lmo1406	0.131898
HC05IgGneg_S9	17	pdhA	lmo1052	0.110512
HC05IgGneg_S9	18	lmo1978	lmo1978	0.087576
HC05IgGneg_S9	19	lmo1875	lmo1875	0.076720
HC05IgGneg_S9	20	lmo1081	lmo1081	0.065972
HC05IgGpos_S10	1	rpmJ	lmo2609	38.468468
HC05IgGpos_S10	2	tuf	lmo2653	37.160339
HC05IgGpos_S10	3	rplB	lmo2629	22.188929
HC05IgGpos_S10	4	rpsS	lmo2628	13.144928
HC05IgGpos_S10	5	rpsJ	lmo2633	11.673203
HC05IgGpos_S10	6	rpsB	lmo1658	10.981258
HC05IgGpos_S10	7	atpA	lmo2531	6.173280
HC05IgGpos_S10	8	lmo2511	lmo2511	5.122994
HC05IgGpos_S10	9	rpmA	lmo1540	4.243055
HC05IgGpos_S10	10	fus	lmo2654	4.237890
HC05IgGpos_S10	11	rplA	lmo0249	4.021834
HC05IgGpos_S10	12	rplK	lmo0248	3.319149
HC05IgGpos_S10	13	lmo1097a	lmo1097a	3.318182
HC05IgGpos_S10	14	lmo1391	lmo1391	2.543249
HC05IgGpos_S10	15	dnaK	lmo1473	2.470364
HC05IgGpos_S10	16	tsf	lmo1657	2.439909
HC05IgGpos_S10	17	pgk	lmo2458	2.380472
HC05IgGpos_S10	18	pflB	lmo1406	2.172723
HC05IgGpos_S10	19	lmo2703	lmo2703	2.120635
HC05IgGpos_S10	20	atpD	lmo2529	1.661734
HC06IgGneg_S11	1	tuf	lmo2653	1.129958
HC06IgGneg_S11	2	rpsB	lmo1658	0.190094
HC06IgGneg_S11	3	rplS	lmo1787	0.116959
HC06IgGneg_S11	4	ftsH	lmo0220	0.076700
HC06IgGneg_S11	5	dnaK	lmo1473	0.064709
HC06IgGneg_S11	6	rplD	lmo2631	0.062802
HC06IgGneg_S11	7	lmo1081	lmo1081	0.060185
HC06IgGneg_S11	8	pflB	lmo1406	0.057874
HC06IgGneg_S11	9	rplB	lmo2629	0.033694
HC06IgGneg_S11	10	atpA	lmo2531	0.027116
HC06IgGneg_S11	11	fus	lmo2654	0.025899
HC06IgGneg_S11	12	rplW	lmo2630	0.017730
HC06IgGneg_S11	13	rpoB	lmo0258	0.010698
HC06IgGpos_S12	1	tuf	lmo2653	25.021097
HC06IgGpos_S12	2	rpmJ	lmo2609	23.621622
HC06IgGpos_S12	3	rplB	lmo2629	18.945849
HC06IgGpos_S12	4	rpsS	lmo2628	10.605072
HC06IgGpos_S12	5	rpsJ	lmo2633	8.349673
HC06IgGpos_S12	6	rpsB	lmo1658	6.058902
HC06IgGpos_S12	7	atpA	lmo2531	4.155423
HC06IgGpos_S12	8	lmo2511	lmo2511	3.702317
HC06IgGpos_S12	9	fus	lmo2654	3.634533
HC06IgGpos_S12	10	lmo1391	lmo1391	3.441983
HC06IgGpos_S12	11	rplA	lmo0249	3.342067
HC06IgGpos_S12	12	tsf	lmo1657	2.832200
HC06IgGpos_S12	13	lmo1097a	lmo1097a	2.449495
HC06IgGpos_S12	14	rpmA	lmo1540	2.347222
HC06IgGpos_S12	15	pflB	lmo1406	2.140422
HC06IgGpos_S12	16	pdhA	lmo1052	2.065589
HC06IgGpos_S12	17	pgk	lmo2458	1.756734
HC06IgGpos_S12	18	lmo1978	lmo1978	1.570265
HC06IgGpos_S12	19	dnaK	lmo1473	1.498097
HC06IgGpos_S12	20	atpD	lmo2529	1.334038
HC07IgGneg_S13	1	tuf	lmo2653	1.931645
HC07IgGneg_S13	2	rpmJ	lmo2609	1.855856
HC07IgGneg_S13	3	rpsJ	lmo2633	1.137255
HC07IgGneg_S13	4	rplB	lmo2629	0.814681
HC07IgGneg_S13	5	rpsS	lmo2628	0.684783
HC07IgGneg_S13	6	atpD	lmo2529	0.606765
HC07IgGneg_S13	7	lmo2511	lmo2511	0.413547
HC07IgGneg_S13	8	rpsB	lmo1658	0.370817
HC07IgGneg_S13	9	atpA	lmo2531	0.283730
HC07IgGneg_S13	10	rpmA	lmo1540	0.263889
HC07IgGneg_S13	11	pdhA	lmo1052	0.251572
HC07IgGneg_S13	12	fus	lmo2654	0.164988
HC07IgGneg_S13	13	pflB	lmo1406	0.143562
HC07IgGneg_S13	14	ftsH	lmo0220	0.125422
HC07IgGneg_S13	15	pgk	lmo2458	0.121212
HC07IgGneg_S13	16	lmo2703	lmo2703	0.120635
HC07IgGneg_S13	17	tsf	lmo1657	0.119048
HC07IgGneg_S13	18	lmo1978	lmo1978	0.074677
HC07IgGneg_S13	19	dnaK	lmo1473	0.074497
HC07IgGneg_S13	20	lmo1391	lmo1391	0.069620
HC07IgGpos_S14	1	tuf	lmo2653	33.804218
HC07IgGpos_S14	2	rpmJ	lmo2609	30.459459
HC07IgGpos_S14	3	rplB	lmo2629	22.884476
HC07IgGpos_S14	4	rpsS	lmo2628	14.264493
HC07IgGpos_S14	5	rpsB	lmo1658	10.855422
HC07IgGpos_S14	6	lmo2511	lmo2511	7.750446
HC07IgGpos_S14	7	atpA	lmo2531	7.493386
HC07IgGpos_S14	8	rpsJ	lmo2633	5.346405
HC07IgGpos_S14	9	rplA	lmo0249	4.542940
HC07IgGpos_S14	10	fus	lmo2654	4.367386
HC07IgGpos_S14	11	lmo1391	lmo1391	4.087553
HC07IgGpos_S14	12	rpsH	lmo2618	3.982323
HC07IgGpos_S14	13	tsf	lmo1657	3.425170
HC07IgGpos_S14	14	rplK	lmo0248	3.255319
HC07IgGpos_S14	15	dnaK	lmo1473	3.152800
HC07IgGpos_S14	16	rpmA	lmo1540	2.430556
HC07IgGpos_S14	17	pflB	lmo1406	2.410947
HC07IgGpos_S14	18	pgk	lmo2458	2.369528
HC07IgGpos_S14	19	lmo1097a	lmo1097a	2.358586
HC07IgGpos_S14	20	eno	lmo2455	2.032558
HC09IgGneg_S15	1	tuf	lmo2653	0.857384
HC09IgGneg_S15	2	rpsJ	lmo2633	0.594771
HC09IgGneg_S15	3	atpD	lmo2529	0.412967
HC09IgGneg_S15	4	gap	lmo2459	0.391865
HC09IgGneg_S15	5	fus	lmo2654	0.345324
HC09IgGneg_S15	6	lepA	lmo1479	0.309210
HC09IgGneg_S15	7	rpsS	lmo2628	0.181159
HC09IgGneg_S15	8	rplK	lmo0248	0.153664
HC09IgGneg_S15	9	rplB	lmo2629	0.148014
HC09IgGneg_S15	10	atpA	lmo2531	0.139550
HC09IgGneg_S15	11	pdhA	lmo1052	0.119497
HC09IgGneg_S15	12	tcsA	lmo1388	0.092437
HC09IgGneg_S15	13	pflB	lmo1406	0.069538
HC09IgGneg_S15	14	lmo2511	lmo2511	0.069519
HC09IgGneg_S15	15	tsf	lmo1657	0.047619
HC09IgGneg_S15	16	lmo1853	lmo1853	0.047490
HC09IgGneg_S15	17	pgk	lmo2458	0.030303
HC09IgGneg_S15	18	lmo1978	lmo1978	0.021724
HC09IgGneg_S15	19	ffh	lmo1801	0.019259
HC09IgGpos_S16	1	rpmJ	lmo2609	28.252253
HC09IgGpos_S16	2	tuf	lmo2653	28.196625
HC09IgGpos_S16	3	rplB	lmo2629	14.987967
HC09IgGpos_S16	4	rpsS	lmo2628	8.873188
HC09IgGpos_S16	5	rpsJ	lmo2633	6.830065
HC09IgGpos_S16	6	rplA	lmo0249	6.618632
HC09IgGpos_S16	7	rpsB	lmo1658	5.408300
HC09IgGpos_S16	8	fus	lmo2654	4.061871
HC09IgGpos_S16	9	atpA	lmo2531	3.978836
HC09IgGpos_S16	10	rpmA	lmo1540	3.736111
HC09IgGpos_S16	11	lmo2511	lmo2511	3.691622
HC09IgGpos_S16	12	tsf	lmo1657	2.790249
HC09IgGpos_S16	13	lmo1097a	lmo1097a	2.666667
HC09IgGpos_S16	14	lmo1391	lmo1391	2.618144
HC09IgGpos_S16	15	rpsH	lmo2618	2.530303
HC09IgGpos_S16	16	dnaK	lmo1473	2.514954
HC09IgGpos_S16	17	atpD	lmo2529	2.115574
HC09IgGpos_S16	18	pgk	lmo2458	1.786195
HC09IgGpos_S16	19	lmo2703	lmo2703	1.784127
HC09IgGpos_S16	20	eno	lmo2455	1.638760
HC10IgGneg_S17	1	tuf	lmo2653	2.285232
HC10IgGneg_S17	2	rplB	lmo2629	0.861613
HC10IgGneg_S17	3	rpmJ	lmo2609	0.837838
HC10IgGneg_S17	4	rpsS	lmo2628	0.543478
HC10IgGneg_S17	5	rplA	lmo0249	0.503639
HC10IgGneg_S17	6	rpmA	lmo1540	0.496528
HC10IgGneg_S17	7	dnaK	lmo1473	0.373573
HC10IgGneg_S17	8	fus	lmo2654	0.338130
HC10IgGneg_S17	9	rpmH	lmo2856	0.265151
HC10IgGneg_S17	10	rpoB	lmo0258	0.180180
HC10IgGneg_S17	11	lmo1109	lmo1109	0.159817
HC10IgGneg_S17	12	lmo0098	lmo0098	0.141914
HC10IgGneg_S17	13	rpsB	lmo1658	0.133869
HC10IgGneg_S17	14	rplS	lmo1787	0.116959
HC10IgGneg_S17	15	pflB	lmo1406	0.109915
HC10IgGneg_S17	16	lmo1799	lmo1799	0.101883
HC10IgGneg_S17	17	lmo1978	lmo1978	0.098439
HC10IgGneg_S17	18	rpsM	lmo2608	0.085399
HC10IgGneg_S17	19	lmo2511	lmo2511	0.069519
HC10IgGneg_S17	20	lmo1106	lmo1106	0.066176
HC10IgGpos_S18	1	tuf	lmo2653	22.775528
HC10IgGpos_S18	2	rpmJ	lmo2609	20.585585
HC10IgGpos_S18	3	rplB	lmo2629	16.567991
HC10IgGpos_S18	4	rpsS	lmo2628	12.952899
HC10IgGpos_S18	5	rpsB	lmo1658	8.697456
HC10IgGpos_S18	6	lmo1097a	lmo1097a	5.873737
HC10IgGpos_S18	7	atpA	lmo2531	5.218254
HC10IgGpos_S18	8	rpmA	lmo1540	4.618055
HC10IgGpos_S18	9	lmo2511	lmo2511	4.128342
HC10IgGpos_S18	10	rpsH	lmo2618	4.123737
HC10IgGpos_S18	11	fus	lmo2654	4.033573
HC10IgGpos_S18	12	lmo1391	lmo1391	4.021097
HC10IgGpos_S18	13	rpsJ	lmo2633	3.882353
HC10IgGpos_S18	14	tsf	lmo1657	3.467120
HC10IgGpos_S18	15	rplA	lmo0249	3.379913
HC10IgGpos_S18	16	dnaK	lmo1473	3.135400
HC10IgGpos_S18	17	atpD	lmo2529	2.026779
HC10IgGpos_S18	18	pgk	lmo2458	2.005892
HC10IgGpos_S18	19	pflB	lmo1406	1.892777
HC10IgGpos_S18	20	lmo1978	lmo1978	1.653768
HC11IgGneg_S19	1	rpsM	lmo2608	0.388430
HC11IgGneg_S19	2	rplB	lmo2629	0.375451
HC11IgGneg_S19	3	lmo1097a	lmo1097a	0.328283
HC11IgGneg_S19	4	atpD	lmo2529	0.223397
HC11IgGneg_S19	5	tuf	lmo2653	0.222785
HC11IgGneg_S19	6	rpsB	lmo1658	0.168675
HC11IgGneg_S19	7	rpsK	lmo2607	0.160207
HC11IgGneg_S19	8	rpoB	lmo0258	0.117962
HC11IgGneg_S19	9	rplS	lmo1787	0.116959
HC11IgGneg_S19	10	lmo2511	lmo2511	0.069519
HC11IgGneg_S19	11	lmo0674	lmo0674	0.061002
HC11IgGneg_S19	12	lmo1081	lmo1081	0.034722
HC11IgGneg_S19	13	glyA	lmo2539	0.027442
HC11IgGneg_S19	14	leuS	lmo1660	0.022001
HC11IgGneg_S19	15	gyrA	lmo0007	0.017815
HC11IgGneg_S19	16	lmo1875	lmo1875	0.015344
HC11IgGneg_S19	17	polC	lmo1320	0.012235
HC11IgGpos_S20	1	rpmJ	lmo2609	28.819820
HC11IgGpos_S20	2	tuf	lmo2653	27.707172
HC11IgGpos_S20	3	rplB	lmo2629	20.580025
HC11IgGpos_S20	4	rpsS	lmo2628	13.108696
HC11IgGpos_S20	5	rpmA	lmo1540	6.923611
HC11IgGpos_S20	6	rpsJ	lmo2633	6.166666
HC11IgGpos_S20	7	rpsB	lmo1658	5.623828
HC11IgGpos_S20	8	rplA	lmo0249	5.352256
HC11IgGpos_S20	9	lmo1391	lmo1391	4.737342
HC11IgGpos_S20	10	rpsH	lmo2618	4.578283
HC11IgGpos_S20	11	atpA	lmo2531	4.499339
HC11IgGpos_S20	12	fus	lmo2654	4.419185
HC11IgGpos_S20	13	lmo2511	lmo2511	4.276292
HC11IgGpos_S20	14	lmo1097a	lmo1097a	4.242424
HC11IgGpos_S20	15	lmo2703	lmo2703	3.142857
HC11IgGpos_S20	16	dnaK	lmo1473	3.014138
HC11IgGpos_S20	17	tsf	lmo1657	2.345805
HC11IgGpos_S20	18	pdhA	lmo1052	1.825696
HC11IgGpos_S20	19	pgk	lmo2458	1.393939
HC11IgGpos_S20	20	rplK	lmo0248	1.378251
